"id";"uID";"longitude";"latitude";"date"
1;"sswu";"1234dsfsdfsdf";"1234fsdf";"2016-07-06 11:28:46.000000"
2;"sswudsfsd";"1234dsfsdfsdf";"1234fsdf";"2016-07-06 17:29:41.000000"
3;"wfds";"fsad";"1234sdfsfef";"2016-07-06 17:34:25.000000"
4;"rfffsx";"121.59526687";"25.06758853";"2016-07-06 17:53:22.000000"
5;"rfffsx";"121.59526687";"25.06758853";"2016-07-06 17:55:17.000000"
6;"rfffsx";"121.59548793";"25.06762323";"2016-07-06 17:55:57.000000"
7;"rfffsx";"121.59553628";"25.06761289";"2016-07-06 17:55:58.000000"
8;"rfffsx";"121.59553628";"25.06761289";"2016-07-06 18:02:14.000000"
9;"gffcgjhfblpp";"121.59553628";"25.06761289";"2016-07-06 18:03:53.000000"
10;"yuarzru";"121.59553628";"25.06761289";"2016-07-06 18:04:10.000000"
11;"uryddgsys";"121.59529614";"25.06764784";"2016-07-06 18:06:52.000000"
12;"uryddgsys";"121.59530921";"25.06762853";"2016-07-06 18:06:57.000000"
13;"uryddgsys";"121.59528001";"25.06765257";"2016-07-06 18:06:59.000000"
14;"uryddgsys";"121.59525297";"25.06767071";"2016-07-06 18:07:00.000000"
15;"uryddgsys";"121.59523666";"25.06768578";"2016-07-06 18:07:01.000000"
16;"uryddgsys";"121.59522608";"25.06769749";"2016-07-06 18:07:02.000000"
17;"uryddgsys";"121.59521653";"25.06770729";"2016-07-06 18:07:03.000000"
18;"uryddgsys";"121.59520382";"25.06771523";"2016-07-06 18:07:04.000000"
19;"uryddgsys";"121.59519047";"25.06772112";"2016-07-06 18:07:05.000000"
20;"uryddgsys";"121.59517333";"25.06772258";"2016-07-06 18:07:07.000000"
21;"uryddgsys";"121.59516763";"25.06770839";"2016-07-06 18:07:10.000000"
22;"uryddgsys";"121.59515239";"25.06771354";"2016-07-06 18:07:12.000000"
23;"uryddgsys";"121.59512922";"25.06772845";"2016-07-06 18:07:13.000000"
24;"uryddgsys";"121.59511904";"25.06774108";"2016-07-06 18:07:14.000000"
25;"uryddgsys";"121.59512839";"25.06774501";"2016-07-06 18:07:19.000000"
26;"uryddgsys";"121.59513685";"25.06773995";"2016-07-06 18:07:20.000000"
27;"uryddgsys";"121.59514887";"25.06773354";"2016-07-06 18:07:21.000000"
28;"uryddgsys";"121.59516147";"25.06772751";"2016-07-06 18:07:22.000000"
29;"uryddgsys";"121.59517417";"25.06772003";"2016-07-06 18:07:23.000000"
30;"uryddgsys";"121.59518796";"25.06771587";"2016-07-06 18:07:24.000000"
31;"uryddgsys";"121.59520816";"25.06770809";"2016-07-06 18:07:25.000000"
32;"uryddgsys";"121.59521823";"25.067703";"2016-07-06 18:07:26.000000"
33;"uryddgsys";"121.59523497";"25.06769271";"2016-07-06 18:07:27.000000"
34;"uryddgsys";"121.59525047";"25.06768295";"2016-07-06 18:07:28.000000"
35;"uryddgsys";"121.59524484";"25.06769207";"2016-07-06 18:07:30.000000"
36;"uryddgsys";"121.59524525";"25.06767706";"2016-07-06 18:07:33.000000"
37;"uryddgsys";"121.59524817";"25.06766513";"2016-07-06 18:07:35.000000"
38;"uryddgsys";"121.59526043";"25.06766155";"2016-07-06 18:07:38.000000"
39;"uryddgsys";"121.59527122";"25.06766462";"2016-07-06 18:07:40.000000"
40;"test4g";"121.59529743";"25.06763588";"2016-07-07 12:33:41.000000"
41;"test4g";"121.59399792";"25.06764003";"2016-07-07 12:34:24.000000"
42;"test4g";"121.59409118";"25.06763478";"2016-07-07 12:34:26.000000"
43;"test4g";"121.59411791";"25.06763732";"2016-07-07 12:34:28.000000"
44;"test4g";"121.59403576";"25.06766727";"2016-07-07 12:34:29.000000"
45;"test4g";"121.59405953";"25.06767341";"2016-07-07 12:34:30.000000"
46;"test4g";"121.59408229";"25.06767841";"2016-07-07 12:34:31.000000"
47;"test4g";"121.59411286";"25.06767836";"2016-07-07 12:34:32.000000"
48;"test4g";"121.59414197";"25.06771524";"2016-07-07 12:34:33.000000"
49;"test4g";"121.59419541";"25.06783304";"2016-07-07 12:34:34.000000"
50;"test4g";"121.59421383";"25.0678521";"2016-07-07 12:34:35.000000"
51;"test4g";"121.59425993";"25.06764079";"2016-07-07 12:34:37.000000"
52;"test4g";"121.59436676";"25.0676345";"2016-07-07 12:34:38.000000"
53;"test4g";"121.59437431";"25.06760463";"2016-07-07 12:34:39.000000"
54;"test4g";"121.59445948";"25.06760602";"2016-07-07 12:34:40.000000"
55;"test4g";"121.59446457";"25.06759506";"2016-07-07 12:34:41.000000"
56;"test4g";"121.5944801";"25.06760613";"2016-07-07 12:34:42.000000"
57;"test4g";"121.59451971";"25.06763423";"2016-07-07 12:34:43.000000"
58;"test4g";"121.59453445";"25.067634";"2016-07-07 12:34:44.000000"
59;"test4g";"121.59456903";"25.06764548";"2016-07-07 12:34:46.000000"
60;"test4g";"121.59456903";"25.06764548";"2016-07-07 12:35:03.000000"
61;"test4g";"121.59456963";"25.0676415";"2016-07-07 12:35:08.000000"
62;"test4g";"121.59458178";"25.06763892";"2016-07-07 12:35:09.000000"
63;"test4g";"121.59461317";"25.06763682";"2016-07-07 12:35:10.000000"
64;"test4g";"121.59462776";"25.06763533";"2016-07-07 12:35:11.000000"
65;"test4g";"121.59463702";"25.06764007";"2016-07-07 12:35:12.000000"
66;"test4g";"121.59465774";"25.06764054";"2016-07-07 12:35:13.000000"
67;"test4g";"121.59467634";"25.06763992";"2016-07-07 12:35:14.000000"
68;"test4g";"121.59468511";"25.06763435";"2016-07-07 12:35:15.000000"
69;"test4g";"121.59470053";"25.06763061";"2016-07-07 12:35:17.000000"
70;"test4g";"121.59471023";"25.0676327";"2016-07-07 12:35:19.000000"
71;"test4g";"121.59475996";"25.06765362";"2016-07-07 12:35:31.000000"
72;"test4g";"121.59480726";"25.06767428";"2016-07-07 12:35:32.000000"
73;"test4g";"121.59481748";"25.06767981";"2016-07-07 12:35:33.000000"
74;"test4g";"121.59482756";"25.06768559";"2016-07-07 12:35:35.000000"
75;"test4g";"121.59480846";"25.06766545";"2016-07-07 12:35:36.000000"
76;"test4g";"121.59481954";"25.06767472";"2016-07-07 12:35:37.000000"
77;"test4g";"121.59486846";"25.06768106";"2016-07-07 12:35:38.000000"
78;"test4g";"121.59494664";"25.06771684";"2016-07-07 12:35:39.000000"
79;"test4g";"121.59494664";"25.06771684";"2016-07-07 12:38:00.000000"
80;"test4g";"121.59534998";"25.06788767";"2016-07-07 12:38:10.000000"
81;"test4g";"121.59533282";"25.06787983";"2016-07-07 12:38:11.000000"
82;"test4g";"121.5953468";"25.06786924";"2016-07-07 12:38:12.000000"
83;"test4g";"121.59533898";"25.0678476";"2016-07-07 12:38:13.000000"
84;"test4g";"121.59536777";"25.06785919";"2016-07-07 12:38:14.000000"
85;"test4g";"121.5951369";"25.06772951";"2016-07-07 12:38:15.000000"
86;"test4g";"121.59514955";"25.06773678";"2016-07-07 12:38:16.000000"
87;"test4g";"121.59507717";"25.06770378";"2016-07-07 12:38:17.000000"
88;"test4g";"121.59504473";"25.06768569";"2016-07-07 12:38:18.000000"
89;"test4g";"121.59501656";"25.06766326";"2016-07-07 12:38:19.000000"
90;"test4g";"121.59500829";"25.06765574";"2016-07-07 12:38:20.000000"
91;"test4g";"121.59501207";"25.0676446";"2016-07-07 12:38:23.000000"
92;"test4g";"121.59502165";"25.06764037";"2016-07-07 12:38:25.000000"
93;"gg3be0";"121.45470512";"25.00613436";"2016-07-07 12:54:25.000000"
94;"gg3be0";"121.45470512";"25.00613436";"2016-07-07 12:57:18.000000"
95;"tcfdnk";"121.59502165";"25.06764037";"2016-07-07 13:35:03.000000"
96;"tcfdnk";"121.59527786";"25.06772325";"2016-07-07 13:35:20.000000"
97;"tcfdnk";"121.59526806";"25.06770755";"2016-07-07 13:35:22.000000"
98;"tcfdnk";"121.59522795";"25.06765948";"2016-07-07 13:35:26.000000"
99;"tcfdnk";"121.59519701";"25.06762623";"2016-07-07 13:35:28.000000"
100;"tcfdnk";"121.59522273";"25.06765588";"2016-07-07 13:35:29.000000"
101;"tcfdnk";"121.59523922";"25.06767369";"2016-07-07 13:35:30.000000"
102;"tcfdnk";"121.59524619";"25.06768076";"2016-07-07 13:35:36.000000"
103;"tcfdnk";"121.59525578";"25.06769069";"2016-07-07 13:35:51.000000"
104;"tcfdnk";"121.59526389";"25.06769965";"2016-07-07 13:35:56.000000"
105;"tcfdnk";"121.59526866";"25.06770431";"2016-07-07 13:36:38.000000"
106;"ttfdfh";"121.59526866";"25.06770431";"2016-07-07 14:50:31.000000"
107;"ttfdfh";"121.59530346";"25.06762814";"2016-07-07 14:50:56.000000"
108;"ttfdfh";"121.59533318";"25.06751938";"2016-07-07 14:50:59.000000"
109;"ttfdfh";"121.59509075";"25.06779354";"2016-07-07 14:51:03.000000"
110;"ttfdfh";"121.59521433";"25.06777415";"2016-07-07 14:51:06.000000"
111;"ttfdfh";"121.59514517";"25.0678131";"2016-07-07 14:51:09.000000"
112;"ttfdfh";"121.59523727";"25.06774001";"2016-07-07 14:51:12.000000"
113;"ttfdfh";"121.59541225";"25.06755648";"2016-07-07 14:51:15.000000"
114;"ttfdfh";"121.59537954";"25.06755679";"2016-07-07 14:51:18.000000"
115;"ttfdfh";"121.59522352";"25.06763679";"2016-07-07 14:51:22.000000"
116;"ttfdfh";"121.59505233";"25.06784541";"2016-07-07 14:51:24.000000"
117;"ttfdfh";"121.59519864";"25.06782639";"2016-07-07 14:51:29.000000"
118;"ttfdfh";"121.595397";"25.06761484";"2016-07-07 14:51:30.000000"
119;"ttfdfh";"121.59514679";"25.06780542";"2016-07-07 14:51:34.000000"
120;"ttfdfh";"121.59557566";"25.06748811";"2016-07-07 14:51:36.000000"
121;"ttfdfh";"121.59552486";"25.06752135";"2016-07-07 14:51:40.000000"
122;"ttfdfh";"121.59534526";"25.06768182";"2016-07-07 14:51:42.000000"
123;"ttfdfh";"121.59514835";"25.06776999";"2016-07-07 14:51:45.000000"
124;"ttfdfh";"121.59521565";"25.06769594";"2016-07-07 14:51:48.000000"
125;"ttfdfh";"121.59517907";"25.06773992";"2016-07-07 14:51:52.000000"
126;"ttfdfh";"121.59511145";"25.06779888";"2016-07-07 14:51:57.000000"
127;"ttfdfh";"121.59514985";"25.06779168";"2016-07-07 14:52:00.000000"
128;"ttfdfh";"121.59520683";"25.06771768";"2016-07-07 14:52:03.000000"
